,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
228,Tre Harris,LAC,WR,23,17,10,0,0,0,0,0,2,10,5.00,0,43,30,324,10.80,1,0,0,1,,,39,69.4,72.4,54.4,,94,,HarrTr03
229,Davis Mills,HOU,QB,27,6,3,91,159,915,5,1,13,60,4.62,1,0,0,0,,0,1,0,1,,1,69,68.6,72.6,69.6,,41,,MillDa02
230,Jaylin Noel,HOU,WR,23,17,3,0,0,0,0,0,6,12,2.00,0,35,26,292,11.23,2,0,0,2,,,42,68.4,71.4,55.4,,88,,NoelJa00
231,Jakobi Meyers,LVR,WR,29,7,6,0,0,0,0,0,0,0,,0,49,33,352,10.67,0,0,0,0,,,66,68.2,71.2,51.7,,59,,MeyeJa01
232,DeAndre Hopkins,BAL,WR,33,17,3,0,0,0,0,0,0,0,,0,39,22,330,15.00,2,0,0,2,,,45,67.0,70.0,56.0,,84,,HopkDe00
233,Kalif Raymond,DET,WR,31,15,3,0,0,0,0,0,2,19,9.50,0,30,24,289,12.04,1,0,0,2,,,43,66.8,69.8,54.8,,87,,RaymKa00
234,Devaughn Vele,NOR,WR,28,13,7,0,0,0,0,0,0,0,,0,39,25,293,11.72,2,0,0,2,,,41,66.3,69.3,53.8,,89,,VeleDe00
235,John Metchie,NYJ,WR,25,9,7,0,0,0,0,0,3,-5,-1.67,0,44,29,256,8.83,2,0,0,2,,,37,66.1,69.1,51.6,,98,,MetcJo00
236,Adonai Mitchell,NYJ,WR,23,8,4,0,0,0,0,0,1,-4,-4.00,0,58,24,301,12.54,2,0,0,2,,,13,65.7,68.7,53.7,,150,,MitcAd00
237,Justice Hill,BAL,RB,28,10,0,0,0,0,0,0,18,93,5.17,2,27,21,169,8.05,1,1,0,3,,,44,65.2,68.2,54.7,,65,,HillJu00
238,Tory Horton,SEA,WR,23,8,3,0,0,0,0,0,0,0,,0,22,13,161,12.38,5,0,0,6,,,52,65.1,68.1,58.6,,78,,HortTo00
239,Ray Davis+,BUF,RB,26,17,0,0,0,0,0,0,58,275,4.74,0,13,10,86,8.60,2,0,0,3,,,54,64.1,67.1,59.1,,59,,DaviRa04
